day,cost_forecast,cost_lower,cost_upper
1,11275034.884403665,10345028.265611062,12205041.503196267
2,11774140.695598265,10798747.389088359,12749534.002108172
3,11642948.78099159,10563482.239130998,12722415.322852181
4,11359240.396074207,10201716.74538234,12516764.046766074
5,11309515.133369556,10074817.91940704,12544212.347332072
6,11281477.730920576,9975178.44620755,12587777.015633602
7,11455542.498149935,10081109.913502956,12829975.082796915
8,11369329.339111244,9796662.419698665,12941996.258523824
9,11811305.799046656,10150505.383510675,13472106.214582637
10,11772319.39947556,10008199.503449362,13536439.295501757
11,11450268.290069064,9593653.905896833,13306882.674241295
12,11525257.075321345,9579265.088993868,13471249.061648821
13,11452361.60269118,9421245.345624534,13483477.859757824
14,11676760.853665158,9563864.555485118,13789657.151845198
15,11578226.149359033,9146794.259179343,14009658.039538722
16,12047559.569631994,9494544.711354844,14600574.427909143
17,11964419.743561953,9260422.024236688,14668417.462887218
18,11660729.383829342,8822919.13019427,14498539.637464415
19,11675997.770489244,8708108.500835925,14643887.040142562
20,11624582.971913619,8532667.074067153,14716498.869760085
21,11824879.12126219,8613574.188464766,15036184.054059615
22,11732244.695170337,8247757.470436826,15216731.919903848
23,12188477.999107387,8557549.054913007,15819406.943301767
24,12126481.422008218,8330083.403334346,15922879.44068209
25,11813998.85898775,7865503.047403974,15762494.670571527
26,11857864.873421839,7761280.786732298,15954448.96011138
27,11796163.868869213,7557080.502213473,16035247.235524952
28,12008001.996247586,7630948.73880803,16385055.253687141
